Token,TradingSymbol,Symbol,Expiry,OptionType,StrikePrice
72413,NIFTY07DEC23P23150,NIFTY,07DEC23,P,23150
72412,NIFTY07DEC23C23150,NIFTY,07DEC23,C,23150
57414,NIFTY07DEC23P22900,NIFTY,07DEC23,P,22900
57413,NIFTY07DEC23C22900,NIFTY,07DEC23,C,22900
57412,NIFTY07DEC23P22850,NIFTY,07DEC23,P,22850
57411,NIFTY07DEC23C22850,NIFTY,07DEC23,C,22850
48849,NIFTY07DEC23P22800,NIFTY,07DEC23,P,22800
48848,NIFTY07DEC23C22800,NIFTY,07DEC23,C,22800
48137,NIFTY07DEC23P22450,NIFTY,07DEC23,P,22450
48136,NIFTY07DEC23C22450,NIFTY,07DEC23,C,22450
46164,NIFTY07DEC23P22400,NIFTY,07DEC23,P,22400
46163,NIFTY07DEC23C22400,NIFTY,07DEC23,C,22400
46162,NIFTY07DEC23P22350,NIFTY,07DEC23,P,22350
46161,NIFTY07DEC23C22350,NIFTY,07DEC23,C,22350
46160,NIFTY07DEC23P22300,NIFTY,07DEC23,P,22300
46159,NIFTY07DEC23C22300,NIFTY,07DEC23,C,22300
45075,NIFTY07DEC23P22700,NIFTY,07DEC23,P,22700
45074,NIFTY07DEC23C22700,NIFTY,07DEC23,C,22700
45073,NIFTY07DEC23P22650,NIFTY,07DEC23,P,22650
45072,NIFTY07DEC23C22650,NIFTY,07DEC23,C,22650
45071,NIFTY07DEC23P22600,NIFTY,07DEC23,P,22600
45070,NIFTY07DEC23C22600,NIFTY,07DEC23,C,22600
44246,NIFTY07DEC23P22250,NIFTY,07DEC23,P,22250
44245,NIFTY07DEC23C22250,NIFTY,07DEC23,C,22250
44244,NIFTY07DEC23P22200,NIFTY,07DEC23,P,22200
44243,NIFTY07DEC23C22200,NIFTY,07DEC23,C,22200
43332,NIFTY07DEC23P22150,NIFTY,07DEC23,P,22150
43331,NIFTY07DEC23C22150,NIFTY,07DEC23,C,22150
43328,NIFTY07DEC23P22100,NIFTY,07DEC23,P,22100
43308,NIFTY07DEC23C22100,NIFTY,07DEC23,C,22100
43307,NIFTY07DEC23P22050,NIFTY,07DEC23,P,22050
43304,NIFTY07DEC23C22050,NIFTY,07DEC23,C,22050
43303,NIFTY07DEC23P22000,NIFTY,07DEC23,P,22000
43299,NIFTY07DEC23C22000,NIFTY,07DEC23,C,22000
43298,NIFTY07DEC23P21950,NIFTY,07DEC23,P,21950
43297,NIFTY07DEC23C21950,NIFTY,07DEC23,C,21950
43296,NIFTY07DEC23P21900,NIFTY,07DEC23,P,21900
43294,NIFTY07DEC23C21900,NIFTY,07DEC23,C,21900
43289,NIFTY07DEC23P21850,NIFTY,07DEC23,P,21850
43288,NIFTY07DEC23C21850,NIFTY,07DEC23,C,21850
43285,NIFTY07DEC23P21800,NIFTY,07DEC23,P,21800
43284,NIFTY07DEC23C21800,NIFTY,07DEC23,C,21800
43283,NIFTY07DEC23P21750,NIFTY,07DEC23,P,21750
43282,NIFTY07DEC23C21750,NIFTY,07DEC23,C,21750
43281,NIFTY07DEC23P21700,NIFTY,07DEC23,P,21700
43280,NIFTY07DEC23C21700,NIFTY,07DEC23,C,21700
43279,NIFTY07DEC23P21650,NIFTY,07DEC23,P,21650
43273,NIFTY07DEC23C21650,NIFTY,07DEC23,C,21650
43272,NIFTY07DEC23P21600,NIFTY,07DEC23,P,21600
43271,NIFTY07DEC23C21600,NIFTY,07DEC23,C,21600
43270,NIFTY07DEC23P21550,NIFTY,07DEC23,P,21550
43269,NIFTY07DEC23C21550,NIFTY,07DEC23,C,21550
43268,NIFTY07DEC23P21500,NIFTY,07DEC23,P,21500
43259,NIFTY07DEC23C21500,NIFTY,07DEC23,C,21500
43258,NIFTY07DEC23P21450,NIFTY,07DEC23,P,21450
43257,NIFTY07DEC23C21450,NIFTY,07DEC23,C,21450
43256,NIFTY07DEC23P21400,NIFTY,07DEC23,P,21400
43255,NIFTY07DEC23C21400,NIFTY,07DEC23,C,21400
43254,NIFTY07DEC23P21350,NIFTY,07DEC23,P,21350
43253,NIFTY07DEC23C21350,NIFTY,07DEC23,C,21350
43252,NIFTY07DEC23P21300,NIFTY,07DEC23,P,21300
43251,NIFTY07DEC23C21300,NIFTY,07DEC23,C,21300
43250,NIFTY07DEC23P21250,NIFTY,07DEC23,P,21250
43249,NIFTY07DEC23C21250,NIFTY,07DEC23,C,21250
43247,NIFTY07DEC23P21200,NIFTY,07DEC23,P,21200
43246,NIFTY07DEC23C21200,NIFTY,07DEC23,C,21200
43245,NIFTY07DEC23P21150,NIFTY,07DEC23,P,21150
43244,NIFTY07DEC23C21150,NIFTY,07DEC23,C,21150
43243,NIFTY07DEC23P21100,NIFTY,07DEC23,P,21100
43242,NIFTY07DEC23C21100,NIFTY,07DEC23,C,21100
43241,NIFTY07DEC23P21050,NIFTY,07DEC23,P,21050
43237,NIFTY07DEC23C21050,NIFTY,07DEC23,C,21050
43236,NIFTY07DEC23P21000,NIFTY,07DEC23,P,21000
43235,NIFTY07DEC23C21000,NIFTY,07DEC23,C,21000
43234,NIFTY07DEC23P20950,NIFTY,07DEC23,P,20950
43233,NIFTY07DEC23C20950,NIFTY,07DEC23,C,20950
43232,NIFTY07DEC23P20900,NIFTY,07DEC23,P,20900
43231,NIFTY07DEC23C20900,NIFTY,07DEC23,C,20900
43229,NIFTY07DEC23P20850,NIFTY,07DEC23,P,20850
43228,NIFTY07DEC23C20850,NIFTY,07DEC23,C,20850
43227,NIFTY07DEC23P20800,NIFTY,07DEC23,P,20800
43224,NIFTY07DEC23C20800,NIFTY,07DEC23,C,20800
43221,NIFTY07DEC23P20750,NIFTY,07DEC23,P,20750
43220,NIFTY07DEC23C20750,NIFTY,07DEC23,C,20750
43218,NIFTY07DEC23P20700,NIFTY,07DEC23,P,20700
43214,NIFTY07DEC23C20700,NIFTY,07DEC23,C,20700
43213,NIFTY07DEC23P20650,NIFTY,07DEC23,P,20650
43209,NIFTY07DEC23C20650,NIFTY,07DEC23,C,20650
43207,NIFTY07DEC23P20600,NIFTY,07DEC23,P,20600
43206,NIFTY07DEC23C20600,NIFTY,07DEC23,C,20600
43205,NIFTY07DEC23P20550,NIFTY,07DEC23,P,20550
43204,NIFTY07DEC23C20550,NIFTY,07DEC23,C,20550
43203,NIFTY07DEC23P20500,NIFTY,07DEC23,P,20500
43202,NIFTY07DEC23C20500,NIFTY,07DEC23,C,20500
43194,NIFTY07DEC23P20450,NIFTY,07DEC23,P,20450
43193,NIFTY07DEC23C20450,NIFTY,07DEC23,C,20450
43192,NIFTY07DEC23P20400,NIFTY,07DEC23,P,20400
43185,NIFTY07DEC23C20400,NIFTY,07DEC23,C,20400
43184,NIFTY07DEC23P20350,NIFTY,07DEC23,P,20350
43179,NIFTY07DEC23C20350,NIFTY,07DEC23,C,20350
43178,NIFTY07DEC23P20300,NIFTY,07DEC23,P,20300
43177,NIFTY07DEC23C20300,NIFTY,07DEC23,C,20300
43174,NIFTY07DEC23P20250,NIFTY,07DEC23,P,20250
43173,NIFTY07DEC23C20250,NIFTY,07DEC23,C,20250
43172,NIFTY07DEC23P20200,NIFTY,07DEC23,P,20200
43171,NIFTY07DEC23C20200,NIFTY,07DEC23,C,20200
43169,NIFTY07DEC23P20150,NIFTY,07DEC23,P,20150
43156,NIFTY07DEC23C20150,NIFTY,07DEC23,C,20150
43153,NIFTY07DEC23P20100,NIFTY,07DEC23,P,20100
43148,NIFTY07DEC23C20100,NIFTY,07DEC23,C,20100
43147,NIFTY07DEC23P20050,NIFTY,07DEC23,P,20050
43146,NIFTY07DEC23C20050,NIFTY,07DEC23,C,20050
43145,NIFTY07DEC23P20000,NIFTY,07DEC23,P,20000
43144,NIFTY07DEC23C20000,NIFTY,07DEC23,C,20000
43143,NIFTY07DEC23P19950,NIFTY,07DEC23,P,19950
43142,NIFTY07DEC23C19950,NIFTY,07DEC23,C,19950
43141,NIFTY07DEC23P19900,NIFTY,07DEC23,P,19900
43140,NIFTY07DEC23C19900,NIFTY,07DEC23,C,19900
43139,NIFTY07DEC23P19850,NIFTY,07DEC23,P,19850
43138,NIFTY07DEC23C19850,NIFTY,07DEC23,C,19850
43137,NIFTY07DEC23P19800,NIFTY,07DEC23,P,19800
43136,NIFTY07DEC23C19800,NIFTY,07DEC23,C,19800
43135,NIFTY07DEC23P19750,NIFTY,07DEC23,P,19750
43134,NIFTY07DEC23C19750,NIFTY,07DEC23,C,19750
43133,NIFTY07DEC23P19700,NIFTY,07DEC23,P,19700
43132,NIFTY07DEC23C19700,NIFTY,07DEC23,C,19700
43131,NIFTY07DEC23P19650,NIFTY,07DEC23,P,19650
43130,NIFTY07DEC23C19650,NIFTY,07DEC23,C,19650
43129,NIFTY07DEC23P19600,NIFTY,07DEC23,P,19600
43128,NIFTY07DEC23C19600,NIFTY,07DEC23,C,19600
43127,NIFTY07DEC23P19550,NIFTY,07DEC23,P,19550
43126,NIFTY07DEC23C19550,NIFTY,07DEC23,C,19550
43125,NIFTY07DEC23P19500,NIFTY,07DEC23,P,19500
43124,NIFTY07DEC23C19500,NIFTY,07DEC23,C,19500
43123,NIFTY07DEC23P19450,NIFTY,07DEC23,P,19450
43122,NIFTY07DEC23C19450,NIFTY,07DEC23,C,19450
43121,NIFTY07DEC23P19400,NIFTY,07DEC23,P,19400
43120,NIFTY07DEC23C19400,NIFTY,07DEC23,C,19400
43119,NIFTY07DEC23P19350,NIFTY,07DEC23,P,19350
43118,NIFTY07DEC23C19350,NIFTY,07DEC23,C,19350
43117,NIFTY07DEC23P19300,NIFTY,07DEC23,P,19300
43116,NIFTY07DEC23C19300,NIFTY,07DEC23,C,19300
43115,NIFTY07DEC23P19250,NIFTY,07DEC23,P,19250
43114,NIFTY07DEC23C19250,NIFTY,07DEC23,C,19250
43113,NIFTY07DEC23P19200,NIFTY,07DEC23,P,19200
43112,NIFTY07DEC23C19200,NIFTY,07DEC23,C,19200
43111,NIFTY07DEC23P19150,NIFTY,07DEC23,P,19150
43110,NIFTY07DEC23C19150,NIFTY,07DEC23,C,19150
43109,NIFTY07DEC23P19100,NIFTY,07DEC23,P,19100
43108,NIFTY07DEC23C19100,NIFTY,07DEC23,C,19100
43107,NIFTY07DEC23P19050,NIFTY,07DEC23,P,19050
43106,NIFTY07DEC23C19050,NIFTY,07DEC23,C,19050
43105,NIFTY07DEC23P19000,NIFTY,07DEC23,P,19000
43103,NIFTY07DEC23C19000,NIFTY,07DEC23,C,19000
43102,NIFTY07DEC23P18950,NIFTY,07DEC23,P,18950
43100,NIFTY07DEC23C18950,NIFTY,07DEC23,C,18950
43099,NIFTY07DEC23P18900,NIFTY,07DEC23,P,18900
43097,NIFTY07DEC23C18900,NIFTY,07DEC23,C,18900
43095,NIFTY07DEC23P18850,NIFTY,07DEC23,P,18850
43094,NIFTY07DEC23C18850,NIFTY,07DEC23,C,18850
43093,NIFTY07DEC23P18800,NIFTY,07DEC23,P,18800
43092,NIFTY07DEC23C18800,NIFTY,07DEC23,C,18800
43091,NIFTY07DEC23P18750,NIFTY,07DEC23,P,18750
43090,NIFTY07DEC23C18750,NIFTY,07DEC23,C,18750
43089,NIFTY07DEC23P18700,NIFTY,07DEC23,P,18700
43088,NIFTY07DEC23C18700,NIFTY,07DEC23,C,18700
43087,NIFTY07DEC23P18650,NIFTY,07DEC23,P,18650
43085,NIFTY07DEC23C18650,NIFTY,07DEC23,C,18650
43084,NIFTY07DEC23P18600,NIFTY,07DEC23,P,18600
43083,NIFTY07DEC23C18600,NIFTY,07DEC23,C,18600
43079,NIFTY07DEC23P18550,NIFTY,07DEC23,P,18550
43078,NIFTY07DEC23C18550,NIFTY,07DEC23,C,18550
43077,NIFTY07DEC23P18500,NIFTY,07DEC23,P,18500
43072,NIFTY07DEC23C18500,NIFTY,07DEC23,C,18500
43071,NIFTY07DEC23P18450,NIFTY,07DEC23,P,18450
43067,NIFTY07DEC23C18450,NIFTY,07DEC23,C,18450
43066,NIFTY07DEC23P18400,NIFTY,07DEC23,P,18400
43065,NIFTY07DEC23C18400,NIFTY,07DEC23,C,18400
43064,NIFTY07DEC23P18350,NIFTY,07DEC23,P,18350
43061,NIFTY07DEC23C18350,NIFTY,07DEC23,C,18350
43060,NIFTY07DEC23P18300,NIFTY,07DEC23,P,18300
43058,NIFTY07DEC23C18300,NIFTY,07DEC23,C,18300
43057,NIFTY07DEC23P18250,NIFTY,07DEC23,P,18250
43056,NIFTY07DEC23C18250,NIFTY,07DEC23,C,18250
43055,NIFTY07DEC23P18200,NIFTY,07DEC23,P,18200
43051,NIFTY07DEC23C18200,NIFTY,07DEC23,C,18200
43050,NIFTY07DEC23P18150,NIFTY,07DEC23,P,18150
43049,NIFTY07DEC23C18150,NIFTY,07DEC23,C,18150
43048,NIFTY07DEC23P18100,NIFTY,07DEC23,P,18100
43039,NIFTY07DEC23C18100,NIFTY,07DEC23,C,18100
43038,NIFTY07DEC23P18050,NIFTY,07DEC23,P,18050
43036,NIFTY07DEC23C18050,NIFTY,07DEC23,C,18050
43035,NIFTY07DEC23P18000,NIFTY,07DEC23,P,18000
43034,NIFTY07DEC23C18000,NIFTY,07DEC23,C,18000
43033,NIFTY07DEC23P17950,NIFTY,07DEC23,P,17950
43032,NIFTY07DEC23C17950,NIFTY,07DEC23,C,17950
43031,NIFTY07DEC23P17900,NIFTY,07DEC23,P,17900
43030,NIFTY07DEC23C17900,NIFTY,07DEC23,C,17900
43028,NIFTY07DEC23P17850,NIFTY,07DEC23,P,17850
43025,NIFTY07DEC23C17850,NIFTY,07DEC23,C,17850
43024,NIFTY07DEC23P17800,NIFTY,07DEC23,P,17800
43023,NIFTY07DEC23C17800,NIFTY,07DEC23,C,17800
43022,NIFTY07DEC23P17750,NIFTY,07DEC23,P,17750
43021,NIFTY07DEC23C17750,NIFTY,07DEC23,C,17750
43019,NIFTY07DEC23P17700,NIFTY,07DEC23,P,17700
43017,NIFTY07DEC23C17700,NIFTY,07DEC23,C,17700
43016,NIFTY07DEC23P17650,NIFTY,07DEC23,P,17650
43014,NIFTY07DEC23C17650,NIFTY,07DEC23,C,17650
43013,NIFTY07DEC23P17600,NIFTY,07DEC23,P,17600
43012,NIFTY07DEC23C17600,NIFTY,07DEC23,C,17600
43011,NIFTY07DEC23P17550,NIFTY,07DEC23,P,17550
43010,NIFTY07DEC23C17550,NIFTY,07DEC23,C,17550
43009,NIFTY07DEC23P17500,NIFTY,07DEC23,P,17500
43008,NIFTY07DEC23C17500,NIFTY,07DEC23,C,17500
43007,NIFTY07DEC23P17450,NIFTY,07DEC23,P,17450
43006,NIFTY07DEC23C17450,NIFTY,07DEC23,C,17450
43005,NIFTY07DEC23P17400,NIFTY,07DEC23,P,17400
43003,NIFTY07DEC23C17400,NIFTY,07DEC23,C,17400
43002,NIFTY07DEC23P17350,NIFTY,07DEC23,P,17350
43001,NIFTY07DEC23C17350,NIFTY,07DEC23,C,17350
43000,NIFTY07DEC23P17300,NIFTY,07DEC23,P,17300
42991,NIFTY07DEC23C17300,NIFTY,07DEC23,C,17300
42989,NIFTY07DEC23P17250,NIFTY,07DEC23,P,17250
42988,NIFTY07DEC23C17250,NIFTY,07DEC23,C,17250
42987,NIFTY07DEC23P17200,NIFTY,07DEC23,P,17200
42981,NIFTY07DEC23C17200,NIFTY,07DEC23,C,17200
42980,NIFTY07DEC23P17150,NIFTY,07DEC23,P,17150
42967,NIFTY07DEC23C17150,NIFTY,07DEC23,C,17150
42966,NIFTY07DEC23P17100,NIFTY,07DEC23,P,17100
42964,NIFTY07DEC23C17100,NIFTY,07DEC23,C,17100
42963,NIFTY07DEC23P17050,NIFTY,07DEC23,P,17050
42961,NIFTY07DEC23C17050,NIFTY,07DEC23,C,17050
42959,NIFTY07DEC23P17000,NIFTY,07DEC23,P,17000
42956,NIFTY07DEC23C17000,NIFTY,07DEC23,C,17000
42955,NIFTY07DEC23P16950,NIFTY,07DEC23,P,16950
42954,NIFTY07DEC23C16950,NIFTY,07DEC23,C,16950
42953,NIFTY07DEC23P16900,NIFTY,07DEC23,P,16900
42952,NIFTY07DEC23C16900,NIFTY,07DEC23,C,16900
42950,NIFTY07DEC23P16850,NIFTY,07DEC23,P,16850
42945,NIFTY07DEC23C16850,NIFTY,07DEC23,C,16850
42477,NIFTY07DEC23P23100,NIFTY,07DEC23,P,23100
42474,NIFTY07DEC23C23100,NIFTY,07DEC23,C,23100
42473,NIFTY07DEC23P23050,NIFTY,07DEC23,P,23050
42472,NIFTY07DEC23C23050,NIFTY,07DEC23,C,23050
42471,NIFTY07DEC23P23000,NIFTY,07DEC23,P,23000
42470,NIFTY07DEC23C23000,NIFTY,07DEC23,C,23000
42469,NIFTY07DEC23P22950,NIFTY,07DEC23,P,22950
42468,NIFTY07DEC23C22950,NIFTY,07DEC23,C,22950
41869,NIFTY07DEC23P16800,NIFTY,07DEC23,P,16800
41864,NIFTY07DEC23C16800,NIFTY,07DEC23,C,16800
41746,NIFTY07DEC23P16750,NIFTY,07DEC23,P,16750
41744,NIFTY07DEC23C16750,NIFTY,07DEC23,C,16750
41735,NIFTY07DEC23P16700,NIFTY,07DEC23,P,16700
41734,NIFTY07DEC23C16700,NIFTY,07DEC23,C,16700
41731,NIFTY07DEC23P16650,NIFTY,07DEC23,P,16650
41730,NIFTY07DEC23C16650,NIFTY,07DEC23,C,16650
41188,NIFTY07DEC23P22750,NIFTY,07DEC23,P,22750
41187,NIFTY07DEC23C22750,NIFTY,07DEC23,C,22750
40457,NIFTY07DEC23P16600,NIFTY,07DEC23,P,16600
40456,NIFTY07DEC23C16600,NIFTY,07DEC23,C,16600
40455,NIFTY07DEC23P16550,NIFTY,07DEC23,P,16550
40454,NIFTY07DEC23C16550,NIFTY,07DEC23,C,16550
40453,NIFTY07DEC23P16500,NIFTY,07DEC23,P,16500
40452,NIFTY07DEC23C16500,NIFTY,07DEC23,C,16500
40196,NIFTY07DEC23P16450,NIFTY,07DEC23,P,16450
40190,NIFTY07DEC23C16450,NIFTY,07DEC23,C,16450
40189,NIFTY07DEC23P16400,NIFTY,07DEC23,P,16400
40185,NIFTY07DEC23C16400,NIFTY,07DEC23,C,16400
39292,NIFTY07DEC23P16350,NIFTY,07DEC23,P,16350
39291,NIFTY07DEC23C16350,NIFTY,07DEC23,C,16350
38521,NIFTY07DEC23P16300,NIFTY,07DEC23,P,16300
38467,NIFTY07DEC23P22550,NIFTY,07DEC23,P,22550
38464,NIFTY07DEC23C22550,NIFTY,07DEC23,C,22550
38463,NIFTY07DEC23P22500,NIFTY,07DEC23,P,22500
38460,NIFTY07DEC23C22500,NIFTY,07DEC23,C,22500
38299,NIFTY07DEC23C16300,NIFTY,07DEC23,C,16300
38295,NIFTY07DEC23P16250,NIFTY,07DEC23,P,16250
38095,NIFTY07DEC23C16250,NIFTY,07DEC23,C,16250
37266,NIFTY07DEC23P16200,NIFTY,07DEC23,P,16200
37265,NIFTY07DEC23C16200,NIFTY,07DEC23,C,16200
37108,NIFTY07DEC23P16150,NIFTY,07DEC23,P,16150
37107,NIFTY07DEC23C16150,NIFTY,07DEC23,C,16150
